"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ"
3,45,794,20,21.9,33.3,23.1,32.2,284,144,4.8,20.7,43,18.7,422,9.4
3,50,699,21.9,23.9,35.9,25.6,35.9,332,95,4.9,25.6,47,19,517,10.3
3,55,634,23.6,25.6,38.1,27.7,39.6,378,65,4.9,31,49,19.1,612,11.1
3,60,588,25,27.1,40.1,29.5,43.4,422,46,4.8,36.3,51,18.9,707,11.8
3,65,553,26.4,28.5,41.8,31,47.1,464,35,4.6,41.3,52,18.7,800,12.3
3,70,526,27.5,29.7,43.2,32.3,50.8,504,28,4.5,45.7,52,18.4,892,12.7
3,75,502,28.6,30.8,44.4,33.5,54.5,542,23,4.4,48.9,52,18,982,13.1
3,80,482,29.6,31.8,45.4,34.6,58.2,578,21,4.2,51,52,17.6,1070,13.4
3,85,463,30.5,32.7,46.1,35.6,61.9,613,19,4.1,52.5,52,17.2,1157,13.6
3,90,445,31.3,33.5,46.7,36.6,65.7,646,18,4,52.8,51,16.8,1241,13.8
3,95,426,32,34.3,47.4,37.6,69.4,677,19,3.8,51.3,50,16.4,1323,13.9
3,100,407,32.7,35,48.4,38.9,73.2,708,19,3.7,49.3,50,16,1403,14
3,105,387,33.3,35.6,49.6,40.4,76.9,737,20,3.6,48.3,49,15.6,1481,14.1
3,110,368,33.9,36.2,50.9,42,80.7,764,19,3.5,48,48,15.2,1557,14.2
3,115,349,34.5,36.8,52.1,43.6,84.5,791,19,3.4,48.2,47,14.8,1631,14.2
3,120,331,35,37.3,53.4,45.3,88.2,817,18,3.3,48.3,46,14.5,1703,14.2
